line_no,chunk_id,direction,bytes,rms,event_note
413,,gemini,,,interrupted_flag keep_playback
414,,gate,,,gate_hold seen=True
415,250,model_out,9600,,forward mode=engine
416,260,model_out,28800,,forward mode=engine
417,270,model_out,21120,,forward mode=engine
418,280,model_out,11520,,forward mode=engine
419,290,model_out,5760,,forward mode=engine
420,3655,client,3200,0.0536,
421,3656,client,3200,0.0852,rms_spike
422,3657,client,3200,0.0708,
423,3658,client,3200,0.0865,rms_spike
424,3659,client,3200,0.0755,
425,3660,client,3200,0.0285,
426,3661,client,3200,0.0516,
427,3662,client,3200,0.0557,
428,3663,client,3200,0.0387,
429,3664,client,3200,0.0541,
430,3665,client,3200,0.0302,
431,3666,client,3200,0.0238,
432,3679,client,3200,0.0637,
433,3682,client,3200,0.0345,
434,3686,client,3200,0.0291,
435,3687,client,3200,0.0602,
436,3688,client,3200,0.0463,
437,3690,client,3200,0.0855,rms_spike
438,3691,client,3200,0.1354,rms_spike
439,3692,client,3200,0.1321,rms_spike
440,3693,client,3200,0.1276,rms_spike
441,3694,client,3200,0.0456,
442,3697,client,3200,0.0463,
443,3698,client,3200,0.0854,rms_spike
444,3699,client,3200,0.0214,
445,3700,client,3200,0.0225,
446,3700,gemini,3200,0.0225,
447,3701,client,3200,0.0371,
448,3702,client,3200,0.0446,
449,3703,client,3200,0.022,
450,3704,client,3200,0.0534,
451,3705,client,3200,0.0423,
452,3714,client,3200,0.0426,
453,3715,client,3200,0.0257,
454,3716,client,3200,0.0238,
455,3717,client,3200,0.0232,
456,3727,client,3200,0.0333,
457,3729,client,3200,0.0365,
458,3730,client,3200,0.0203,
459,3732,client,3200,0.0837,rms_spike
460,3733,client,3200,0.0957,rms_spike
461,3734,client,3200,0.0389,
462,3735,client,3200,0.0497,
463,3742,client,3200,0.129,rms_spike
464,3743,client,3200,0.1373,rms_spike
465,,asr,,,transcript_partial:Kalau saya sih lebih lebih pengen AI itu bisa order Grab
466,3744,client,3200,0.0518,
467,3745,client,3200,0.1358,rms_spike
468,3746,client,3200,0.0798,
469,3747,client,3200,0.0448,
470,3759,client,3200,0.0256,
471,3760,client,3200,0.0424,
472,,asr,,,"transcript_partial:, Gojek"
473,3761,client,3200,0.0698,
474,3762,client,3200,0.0324,
475,3763,client,3200,0.0777,
